City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
52,Bereda,ES,2022-03-25 15:31:34,43.2686,-7.5406,69.58,60,100,4.29
53,Barrow,US,2022-03-25 15:31:34,71.2906,-156.7887,-0.38,71,100,19.57
54,Salalah,OM,2022-03-25 15:31:35,17.0151,54.0924,77.07,56,0,0.87
55,Pevek,RU,2022-03-25 15:31:35,69.7008,170.3133,-17.9,96,38,6.49
56,Lata,PT,2022-03-25 15:31:36,40.1629,-8.3327,64.81,58,100,10.38
57,Konigs Wusterhausen,DE,2022-03-25 15:31:36,52.3014,13.633,65.17,41,0,9.22
58,Vaini,TO,2022-03-25 15:31:36,-21.2,-175.2,73.56,94,20,3.44
59,Bluff,NZ,2022-03-25 15:31:37,-46.6,168.3333,59.88,76,73,17.27
60,Ambilobe,MG,2022-03-25 15:31:37,-13.2,49.05,77.7,87,100,0.58
61,Albany,US,2022-03-25 15:27:01,42.6001,-73.9662,51.62,78,7,6.55
62,Puerto Ayora,EC,2022-03-25 15:31:38,-0.7393,-90.3518,82.36,73,35,8.59
63,Vostok,RU,2022-03-25 15:31:39,46.4856,135.8833,30.18,99,100,2.62
64,Yerbogachen,RU,2022-03-25 15:31:39,61.2767,108.0108,6.17,96,87,3.15
65,Lodwar,KE,2022-03-25 15:31:39,3.1191,35.5973,94.95,30,100,9.31
66,Rudsar,IR,2022-03-25 15:31:40,37.1376,50.288,49.98,82,27,3.94
67,Ajdabiya,LY,2022-03-25 15:31:40,30.7554,20.2263,60.35,52,0,11.14
68,Sitka,US,2022-03-25 15:31:41,57.0531,-135.33,39.09,81,100,21.85
69,Xining,CN,2022-03-25 15:31:41,36.6167,101.7667,33.57,60,90,3.78
70,Saint-Pierre,RE,2022-03-25 15:31:42,-21.3393,55.4781,80.29,79,100,9.22
71,Hilo,US,2022-03-25 15:31:42,19.7297,-155.09,67.73,86,0,4.61
72,Gayeri,BF,2022-03-25 15:31:42,12.6497,0.4931,104.63,9,7,9.71
73,Moose Factory,CA,2022-03-25 15:31:43,51.2585,-80.6094,32.0,80,100,8.05
