City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Pangnirtung,CA,66.1451,-65.7125,14.0,85,20,3.44,fog
196,Buin,CL,-33.7333,-70.75,78.06,18,100,7.02,overcast clouds
197,Chato,TZ,-2.6378,31.7669,68.67,80,45,1.59,light rain
198,Tres Arroyos,AR,-38.3739,-60.2798,73.13,38,3,12.82,clear sky
199,Jati,PK,24.3539,68.2671,81.84,39,3,13.13,clear sky
200,Ribeira Grande,PT,38.5167,-28.7,64.8,63,20,16.11,few clouds
201,Churapcha,RU,62.0025,132.4325,-4.14,100,100,4.72,overcast clouds
202,Bereda,ES,43.2686,-7.5406,61.14,64,79,3.06,broken clouds
203,Acapulco,MX,16.8634,-99.8901,84.02,39,75,10.36,broken clouds
204,Ayagoz,KZ,47.9714,80.4392,30.85,96,80,19.77,light snow
205,Laramie,US,41.3114,-105.5911,66.52,19,0,15.95,clear sky
206,Santa Cruz Del Sur,CU,20.7147,-77.9956,83.21,45,49,9.86,light rain
207,Kaoma,ZM,-14.7833,24.8,67.53,93,100,4.32,overcast clouds
208,Matamoros,MX,25.5333,-103.25,80.71,9,0,10.36,clear sky
209,Jiayuguan,CN,39.8167,98.3,46.11,17,51,2.33,broken clouds
210,Rafaela,AR,-31.2503,-61.4867,83.98,30,0,1.99,clear sky
211,Karpogory,RU,64.0019,44.4451,15.37,77,100,14.34,overcast clouds
212,Sherwood,US,34.8151,-92.2243,59.99,33,75,11.5,broken clouds
213,San Jeronimo,PE,-11.9472,-75.2829,60.93,62,86,6.2,overcast clouds
214,Casas Grandes,MX,30.3667,-107.95,75.47,8,52,0.78,broken clouds
215,Nouadhibou,MR,20.931,-17.0347,67.98,77,100,9.22,overcast clouds
216,Nkan,GA,0.3833,9.7833,78.53,91,69,5.3,moderate rain
217,Norsup,VU,-16.0667,167.3833,79.02,87,94,4.38,overcast clouds
218,Okhotsk,RU,59.3833,143.3,-2.49,85,34,11.97,scattered clouds
219,Santa Rosalia,MX,27.3167,-112.2833,75.33,28,100,3.67,overcast clouds
220,Broken Hill,AU,-31.95,141.4333,66.47,61,41,3.58,scattered clouds
221,Coquimbo,CL,-29.9533,-71.3436,68.13,69,19,6.33,few clouds
222,Sitka,US,57.0531,-135.33,39.09,70,20,0.0,few clouds
223,Muroto,JP,33.2833,134.15,58.5,70,92,10.92,overcast clouds
224,Ugleuralskiy,RU,58.9534,57.5846,35.19,100,100,13.76,snow
225,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,80.49,39,12,12.44,few clouds
226,Khandyga,RU,62.6667,135.6,-17.54,100,53,1.95,broken clouds
227,Abu Samrah,SY,35.3029,37.1841,47.68,67,4,7.43,clear sky
228,Bara,NG,10.3744,10.7288,86.38,12,9,8.55,clear sky
229,Eyl,SO,7.9803,49.8164,78.26,66,38,15.17,scattered clouds
230,Kaeo,NZ,-35.1,173.7833,56.32,92,15,4.97,few clouds
231,Beyneu,KZ,45.3167,55.2,44.56,64,100,10.09,overcast clouds
232,Kysyl-Syr,RU,63.8986,122.7617,17.44,97,100,4.94,overcast clouds
233,Sompeta,IN,18.9333,84.6,80.08,88,32,11.61,scattered clouds
234,Airai,TL,-8.9266,125.4092,60.6,92,100,0.54,overcast clouds
235,Rundu,NA,-17.9333,19.7667,72.79,41,14,5.12,few clouds
236,Taboga,IT,46.2663,13.1092,61.0,44,0,2.19,clear sky
237,Ahipara,NZ,-35.1667,173.1667,58.39,82,0,4.05,clear sky
